name,artist,id,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Sunday (feat. Frank Ocean),Earl Sweatshirt,0fAehaneUJdlSlWXYe1KZp,~,0.716,0.568,2,-8.904,1,0.212,0.278,1.98e-06,0.385,0.905,136.894,205800,4
Sweet Life,Frank Ocean,6MEDfjHxnVNcYmHe3mM6L2,~,0.479,0.558,11,-6.074,1,0.179,0.227,0.0,0.0808,0.8,83.465,262680,4
waves - Tame Impala Remix,Miguel,3lB0GMiI5KxDbTOG8V3bOx,~,0.529,0.894,2,-3.599,1,0.0412,0.308,5.38e-06,0.254,0.543,108.024,253347,4
Where Is My Mind?,Pixies,5BP0oaQ1VhuaznT77CBXQp,~,0.508,0.597,4,-8.063,1,0.0396,0.0177,0.000856,0.091,0.185,81.982,231667,4
Girl on a Train,Skizzy Mars,6M1nfYPKy7DRk3IrhFVViQ,~,0.711,0.678,9,-6.398,1,0.0476,0.219,0.0,0.176,0.615,94.04,182548,4
Give up on Me,Skizzy Mars,30pDjS9dWjzGHDWaps25p5,~,0.659,0.74,2,-6.181,1,0.243,0.172,0.0,0.362,0.427,89.042,243094,4
Childs Play (feat. Chance the Rapper),SZA,7GPstnufSTScEaw9dMxO9H,~,0.759,0.342,1,-9.044,0,0.0406,0.775,0.0,0.112,0.22,99.995,216234,4
Babylon (feat. Kendrick Lamar),SZA,6Aj2H0Z0v0JgnSfPEwCgW0,~,0.51,0.71,5,-6.891,0,0.113,0.629,0.0,0.0607,0.367,131.891,234285,4
High Again,Hoodie Allen,5GhdaaF51aI9ZzbzonyDKT,~,0.707,0.693,2,-7.191,1,0.122,0.0854,0.000317,0.151,0.288,88.97,210144,4
Stay for a While,Gibbz,1aQZKoiKKH8Y7bz0C18BGv,~,0.562,0.563,8,-5.854,1,0.209,0.468,0.00227,0.298,0.726,145.487,223562,4
Crown Violet - Bonus Track,Azizi Gibson,4Ru3FOAvXmlAFsjC8dUT5l,~,0.631,0.626,9,-7.747,0,0.114,0.479,0.0,0.108,0.11,107.007,187617,4
Shelter from the Storm,Bob Dylan,3y4Uza6K58JXQ7RYya8ZI5,~,0.486,0.241,4,-17.337,1,0.0366,0.413,3.51e-05,0.0928,0.614,106.574,301133,4
Landslide,Fleetwood Mac,5ihS6UUlyQAfmp48eSkxuQ,~,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,4
Wild Horses,The Rolling Stones,78QroUGyTfWodx1FT63ZPa,~,0.445,0.318,7,-9.728,1,0.0275,0.655,0.000742,0.0901,0.189,139.583,341613,4
White,Odd Future,2gEmgpnxseKEVRTwkSGopN,~,0.51,0.0671,3,-12.163,0,0.0689,0.744,0.0,0.166,0.197,106.017,122933,3
Living of Love,The Avett Brothers,6mrBx0PDSwGWsUnBGksKlw,~,0.469,0.427,8,-6.403,1,0.036,0.31,0.0,0.102,0.205,113.881,271333,4
The Weight of Lies,The Avett Brothers,6ARq4svx1Ns0Xvnhei9kpw,~,0.591,0.411,9,-7.496,1,0.0299,0.713,0.0,0.115,0.454,153.616,269680,4
3 Rounds And A Sound,Blind Pilot,0ROKraHEf4F02IyaudmAt6,~,0.381,0.288,1,-12.323,1,0.0337,0.843,0.00226,0.12,0.198,59.343,266960,4
Ten Thousand Words,The Avett Brothers,0MGMZ1413F9obd1qt4vkhy,~,0.479,0.29,7,-12.079,1,0.0334,0.849,0.000331,0.112,0.374,154.14,336000,4
Life,The Avett Brothers,7yqO8vYeyf8ahnLj9vOZ4G,~,0.435,0.235,11,-12.235,1,0.0297,0.457,0.000155,0.112,0.188,134.588,224133,4
Shut Up Kiss Me,Angel Olsen,5uZLsGY9fknBd5Rxr7AIss,~,0.373,0.63,7,-5.131,1,0.0461,0.0552,0.0,0.107,0.352,115.942,202200,4
Focus On You,KYLE,5agFHDGKCcZQBmhcg79ZJE,~,0.543,0.701,0,-7.745,1,0.224,0.0339,0.0,0.0734,0.344,80.752,213902,4
Love 4 You,KYLE,6ynFKtv2MPinHnfMKj6m25,~,0.791,0.641,5,-6.624,0,0.0898,0.0139,2.23e-06,0.0874,0.573,118.024,244235,4
Me and Your Mama,Childish Gambino,4TDoUr2meaXsfbPFMdrqOE,~,0.555,0.454,5,-11.806,1,0.0338,0.0116,0.0294,0.0708,0.214,118.003,379213,3
Solid Wall of Sound,A Tribe Called Quest,5OzOQRssjhxaBj0xd78Z2w,~,0.67,0.684,9,-6.053,0,0.401,0.311,0.000274,0.181,0.473,146.054,223347,4
